,Unnamed: 0,winner_wickets,umpire3,team,team2,gender,season,date,competition,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire,umpire2,reserve_umpire,tv_umpire,match_referee,winner,winner_runs,outcome,eliminator,date2,neutralvenue,id
0,0,,,Sunrisers Hyderabad,Royal Challengers Bangalore,male,2017,2017/04/05,Indian Premier League,1.0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Royal Challengers Bangalore,field,Yuvraj Singh,AY Dandekar,NJ Llong,N Pandit,A Deshmukh,J Srinath,Sunrisers Hyderabad,35.0,,,,,0
1,1,7.0,,Rising Pune Supergiant,Mumbai Indians,male,2017,2017/04/06,Indian Premier League,2.0,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,field,SPD Smith,A Nand Kishore,S Ravi,Navdeep Singh,VK Sharma,M Nayyar,Rising Pune Supergiant,,,,,,1
2,2,10.0,,Gujarat Lions,Kolkata Knight Riders,male,2017,2017/04/07,Indian Premier League,3.0,Saurashtra Cricket Association Stadium,Rajkot,Kolkata Knight Riders,field,CA Lynn,Nitin Menon,CK Nandan,K Srinivasan,YC Barde,V Narayan Kutty,Kolkata Knight Riders,,,,,,2
3,3,6.0,,Kings XI Punjab,Rising Pune Supergiant,male,2017,2017/04/08,Indian Premier League,4.0,Holkar Cricket Stadium,Indore,Kings XI Punjab,field,GJ Maxwell,AK Chaudhary,C Shamshuddin,R Pandit,KN Ananthapadmanabhan,Chinmay Sharma,Kings XI Punjab,,,,,,3
4,4,,,Royal Challengers Bangalore,Delhi Daredevils,male,2017,2017/04/08,Indian Premier League,5.0,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,bat,KM Jadhav,,,Navdeep Singh,A Nand Kishore,J Srinath,Royal Challengers Bangalore,15.0,,,,,4
5,5,9.0,,Sunrisers Hyderabad,Gujarat Lions,male,2017,2017/04/09,Indian Premier League,6.0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,field,Rashid Khan,A Deshmukh,NJ Llong,N Pandit,AY Dandekar,M Nayyar,Sunrisers Hyderabad,,,,,,5
6,6,4.0,,Mumbai Indians,Kolkata Knight Riders,male,2017,2017/04/09,Indian Premier League,7.0,Wankhede Stadium,Mumbai,Mumbai Indians,field,N Rana,Nitin Menon,CK Nandan,K Srinivasan,YC Barde,S Chaturvedi,Mumbai Indians,,,,,,6
7,7,8.0,,Kings XI Punjab,Royal Challengers Bangalore,male,2017,2017/04/10,Indian Premier League,8.0,Holkar Cricket Stadium,Indore,Royal Challengers Bangalore,bat,AR Patel,AK Chaudhary,C Shamshuddin,R Pandit,KN Ananthapadmanabhan,Chinmay Sharma,Kings XI Punjab,,,,,,7
8,8,,,Rising Pune Supergiant,Delhi Daredevils,male,2017,2017/04/11,Indian Premier League,9.0,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,field,SV Samson,AY Dandekar,S Ravi,Navdeep Singh,A Nand Kishore,J Srinath,Delhi Daredevils,97.0,,,,,8
9,9,4.0,,Mumbai Indians,Sunrisers Hyderabad,male,2017,2017/04/12,Indian Premier League,10.0,Wankhede Stadium,Mumbai,Mumbai Indians,field,JJ Bumrah,Nitin Menon,CK Nandan,K Srinivasan,YC Barde,M Nayyar,Mumbai Indians,,,,,,9
10,10,8.0,,Kolkata Knight Riders,Kings XI Punjab,male,2017,2017/04/13,Indian Premier League,11.0,Eden Gardens,Kolkata,Kolkata Knight Riders,field,SP Narine,A Deshmukh,NJ Llong,N Pandit,AY Dandekar,AJ Pycroft,Kolkata Knight Riders,,,,,,10
11,11,4.0,,Royal Challengers Bangalore,Mumbai Indians,male,2017,2017/04/14,Indian Premier League,12.0,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,field,KA Pollard,KN Ananthapadmanabhan,AK Chaudhary,R Pandit,C Shamshuddin,Chinmay Sharma,Mumbai Indians,,,,,,11
12,12,7.0,,Gujarat Lions,Rising Pune Supergiant,male,2017,2017/04/14,Indian Premier League,13.0,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,field,AJ Tye,A Nand Kishore,S Ravi,Navdeep Singh,VK Sharma,J Srinath,Gujarat Lions,,,,,,12
13,13,,,Kolkata Knight Riders,Sunrisers Hyderabad,male,2017,2017/04/15,Indian Premier League,14.0,Eden Gardens,Kolkata,Sunrisers Hyderabad,field,RV Uthappa,AY Dandekar,NJ Llong,N Pandit,A Deshmukh,AJ Pycroft,Kolkata Knight Riders,17.0,,,,,13
14,14,,,Delhi Daredevils,Kings XI Punjab,male,2017,2017/04/15,Indian Premier League,15.0,Feroz Shah Kotla,Delhi,Delhi Daredevils,bat,CJ Anderson,YC Barde,Nitin Menon,K Srinivasan,CK Nandan,S Chaturvedi,Delhi Daredevils,51.0,,,,,14
15,15,6.0,,Mumbai Indians,Gujarat Lions,male,2017,2017/04/16,Indian Premier League,16.0,Wankhede Stadium,Mumbai,Mumbai Indians,field,N Rana,A Nand Kishore,S Ravi,Navdeep Singh,VK Sharma,M Nayyar,Mumbai Indians,,,,,,15
16,16,,,Royal Challengers Bangalore,Rising Pune Supergiant,male,2017,2017/04/16,Indian Premier League,17.0,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,BA Stokes,KN Ananthapadmanabhan,C Shamshuddin,R Pandit,AK Chaudhary,Chinmay Sharma,Rising Pune Supergiant,27.0,,,,,16
17,17,4.0,,Delhi Daredevils,Kolkata Knight Riders,male,2017,2017/04/17,Indian Premier League,18.0,Feroz Shah Kotla,Delhi,Delhi Daredevils,bat,NM Coulter-Nile,Nitin Menon,CK Nandan,K Srinivasan,YC Barde,S Chaturvedi,Kolkata Knight Riders,,,,,,17
18,18,,,Sunrisers Hyderabad,Kings XI Punjab,male,2017,2017/04/17,Indian Premier League,19.0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Kings XI Punjab,field,B Kumar,AY Dandekar,A Deshmukh,N Pandit,NJ Llong,AJ Pycroft,Sunrisers Hyderabad,5.0,,,,,18
19,19,,,Gujarat Lions,Royal Challengers Bangalore,male,2017,2017/04/18,Indian Premier League,20.0,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,field,CH Gayle,S Ravi,VK Sharma,Navdeep Singh,A Nand Kishore,J Srinath,Royal Challengers Bangalore,21.0,,,,,19
